time,theta1,theta2,omega1,omega2,x1,y1,x2,y2,kinetic_energy,potential_energy,total_energy
0.0,1.5707963267948966,1.5707963267948966,0.0,0.0,1.0,-6.123233995736766e-17,2.0,-1.2246467991473532e-16,0.0,-1.8020677649453305e-15,-1.8020677649453305e-15
0.004000800160032006,1.5707178153994674,1.5707963267846268,-0.03924784866892408,-1.5445543984670155e-09,0.9999999969179804,-7.851139534854056e-05,1.9999999969179805,-7.851140561838681e-05,0.001540393685759204,-0.0015403936774855578,8.273646091155884e-12
0.008001600320064013,1.5704822812014487,1.5707963267739267,-0.07849569316662366,-1.0239777072909245e-08,0.999999950687683,-0.00031404558828578737,1.999999950687683,-0.0003140456092557411,0.006161574649487141,-0.006161574647882395,1.6047458500922929e-12
0.012002400480096018,1.570089724257965,1.5707963266648695,-0.11774350833577407,-6.921251472364597e-08,0.9999997503564377,-0.0007066024781320242,1.9999997503564377,-0.0007066026081591856,0.013863541904541163,-0.013863541896516767,8.02439538427624e-12
0.016003200640128026,1.569540144836348,1.570796325999171,-0.15699122486234068,-2.972868595584563e-07,0.9999992110035473,-0.0012561816281742707,1.9999992110035474,-0.0012561824238998174,0.0246462913552136,-0.024646291350846804,4.366795119947753e-12
0.020004000800160033,1.5688335714023636,1.5707962759204572,-0.19623815914663498,-1.8669697416607347e-06,0.9999980737962529,-0.0019627541323106244,1.9999980737962515,-0.0019628050067500135,0.038509781477002444,-0.03850973515418486,4.6322817581767595e-08
0.024004800960192037,1.5679700118465352,1.5707961628755691,-0.23548398939481993,-5.32990199505466e-06,0.9999960059745651,-0.0028263111855691817,1.9999960059745516,-0.002826475104896688,0.05545396437707613,-0.05545383350947018,1.3086760594638314e-07
0.028005601120224044,1.5669494426406727,1.5707960272396466,-0.2747289323427746,-1.03137652300777e-05,0.9999926007502768,-0.003846874666200394,1.999992600750232,-0.0038471742214503937,0.07547881978813537,-0.07547861958785423,2.0020028113076904e-07
0.03200640128025605,1.56577184868683,1.5707958949295608,-0.31397292346890215,-1.6928605189240265e-05,0.9999873773364262,-0.005024456967283284,1.9999873773363328,-0.00502488883261906,0.09858431187147995,-0.098584082297042,2.2957443794602295e-07
0.03600720144028806,1.5644372233173047,1.5707957774039139,-0.3532156169941299,-2.5766831747225737e-05,0.9999797809696158,-0.00635906061923198,1.9999797809694648,-0.006359610010214748,0.12477037348389566,-0.1247701588748724,2.1460902326075892e-07
0.040008001600320066,1.5629455682946385,1.570795671663039,-0.39245638588190923,-3.7903218910890445e-05,0.9999691829537684,-0.007850677854363228,1.9999691829535537,-0.00785133298622094,0.15403689043978594,-0.15403672634613072,1.6409365521941055e-07
0.04400880176035207,1.5612968938116172,1.5707955602490007,-0.4316943218382158,-5.4894904819263636e-05,0.9999548807257936,-0.009499290113675831,1.9999548807254999,-0.009500056659571762,0.18638368576373482,-0.18638359184555892,9.391817590298501e-08
0.048009601920384073,1.5594912184912697,1.5707954112455949,-0.4709282353115494,-7.878139174354753e-05,0.9999360979437121,-0.01130486749604531,1.999936097943293,-0.011305783045347077,0.22181050392828638,-0.22181048181105933,2.211722704981156e-08
0.05201040208041608,1.5575285693868697,1.570795178278348,-0.5101566554929339,-0.00011208454608711732,0.9999119845978297,-0.013267368150074807,1.99991198459717,-0.0132685166666234,0.260316995070464,-0.26031703005180945,-3.4981345431450706e-08
0.05601120224044809,1.5554089819819341,1.5707948005145185,-0.5493778303159175,-0.00015780859838552126,0.9998816171456273,-0.015386737608903514,1.9998816171444624,-0.015388263889281658,0.30190269917843954,-0.30190276469719657,-6.551875703086907e-08
0.060012002400480095,1.5531325001902239,1.570794202663095,-0.5885897264565723,-0.00021944014330648023,0.9998439986710779,-0.01766290806831158,1.999843998668822,-0.0176650322001132,0.3465670302368137,-0.3465670940332471,-6.37964334138097e-08
0.0640128025605121,1.5506991763557443,1.5707932949747978,-0.6277900293334947,-0.0003009481396498886,0.999798059069169,-0.020095797608516673,1.999798059064573,-0.020098829428615482,0.39430926031521774,-0.39430929123426645,-3.0919048710220665e-08
0.0680136027205441,1.5481090712527439,1.5707919732420785,-0.6669761431078052,-0.00040678391034781273,0.9997426552564596,-0.022685309360108902,1.9997426552469828,-0.022689662912926976,0.4451285035804021,-0.445128477998482,2.5581920137796033e-08
0.07201440288057612,1.5453622540857155,1.5707901187991198,-0.7061451906831486,-0.0005418811424644934,0.9996765714085581,-0.02543133061461609,1.9996765713892886,-0.025437538610392885,0.4990237002067003,-0.49902360709733806,9.310936222028943e-08
0.07601520304060812,1.5424588024893955,1.5707875985218354,-0.7452940137056936,-0.0007116558871963429,0.9995985192254628,-0.02833373188025288,1.9995985191873715,-0.028342460153314028,0.5559936001537464,-0.5559934438492913,1.5630445515668612e-07
0.08001600320064013,1.5393988025287644,1.5707842648278698,-0.7844191725641334,-0.0009220065598719477,0.9995071382257554,-0.03139236588345438,1.9995071381530098,-0.03140442785048089,0.6160367467736824,-0.616036546529905,2.002437773374055e-07
0.08401680336067213,1.5361823486990465,1.5707799556765993,-0.8235169463896848,-0.0011793139399520652,0.9994009960706953,-0.03460706651685485,1.9994009959366885,-0.0346234376351514,0.6791514602028006,-0.6791512457311814,2.144716192420404e-07
